epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6357,2.10824,1.59309,1.40181,0.89599,0.94038,0.94136,0.43806,1.68133,0.95042,1.16416,0.000655556,0.000655556,0.000655556
2,48.0298,1.60215,0.95152,1.10448,0.94249,0.95322,0.97792,0.47722,1.58388,0.91502,1.11448,0.00129604,0.00129604,0.00129604
3,71.0256,1.56382,0.92016,1.08917,0.95094,0.95835,0.96951,0.47617,1.59391,0.93107,1.1269,0.00191013,0.00191013,0.00191013
4,93.7166,1.57276,0.92162,1.0892,0.924,0.96066,0.95986,0.48843,1.54285,0.93114,1.10858,0.0018812,0.0018812,0.0018812
5,116.265,1.53806,0.89061,1.07438,0.93959,0.94523,0.96677,0.49925,1.53803,0.90354,1.11688,0.0018416,0.0018416,0.0018416
6,139.071,1.50727,0.88047,1.06434,0.95583,0.9525,0.97269,0.50424,1.55088,0.86127,1.09692,0.001802,0.001802,0.001802
7,163.319,1.48868,0.88171,1.05399,0.94003,0.96171,0.95939,0.47231,1.58637,0.93718,1.1405,0.0017624,0.0017624,0.0017624
8,187.43,1.48789,0.86107,1.06433,0.95899,0.96356,0.978,0.51642,1.49117,0.88059,1.10498,0.0017228,0.0017228,0.0017228
9,210.957,1.46665,0.87294,1.04656,0.93639,0.95625,0.96736,0.51666,1.51947,0.85263,1.09175,0.0016832,0.0016832,0.0016832
10,235.204,1.47101,0.85633,1.04448,0.94519,0.96128,0.96884,0.50701,1.49881,0.87283,1.08848,0.0016436,0.0016436,0.0016436
11,259.064,1.45428,0.84978,1.03945,0.92378,0.95589,0.96086,0.51674,1.49067,0.88624,1.08059,0.001604,0.001604,0.001604
12,282.269,1.45359,0.84639,1.04229,0.9238,0.96268,0.96648,0.50872,1.48357,0.88747,1.08809,0.0015644,0.0015644,0.0015644
13,305.162,1.42959,0.84924,1.03822,0.95457,0.9714,0.9751,0.52474,1.48377,0.86113,1.0764,0.0015248,0.0015248,0.0015248
14,327.559,1.44593,0.83557,1.04021,0.95399,0.96704,0.9792,0.5342,1.4596,0.83566,1.08501,0.0014852,0.0014852,0.0014852
15,350.771,1.41774,0.83868,1.02886,0.95109,0.96316,0.97679,0.53744,1.44653,0.83434,1.08489,0.0014456,0.0014456,0.0014456
