epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4511,2.10824,1.59309,1.40181,0.89599,0.94038,0.94136,0.43806,1.68133,0.95042,1.16416,0.000655556,0.000655556,0.000655556
2,44.3699,1.60233,0.94601,1.10416,0.91178,0.93698,0.96239,0.45393,1.64175,0.94869,1.13733,0.00130913,0.00130913,0.00130913
3,65.6103,1.56497,0.93191,1.09635,0.93834,0.95298,0.96766,0.47211,1.59981,0.87136,1.1476,0.00194951,0.00194951,0.00194951
4,86.9674,1.55198,0.91583,1.08278,0.85985,0.93989,0.92287,0.44061,1.64708,0.9801,1.17731,0.0019406,0.0019406,0.0019406
5,108.432,1.52537,0.89746,1.07439,0.93461,0.96991,0.96047,0.497,1.55705,0.89888,1.12452,0.0019208,0.0019208,0.0019208
6,129.559,1.50804,0.88238,1.06441,0.85888,0.92244,0.86387,0.42804,1.56871,0.98586,1.11226,0.001901,0.001901,0.001901
7,151.172,1.49939,0.88487,1.06001,0.94336,0.96607,0.97416,0.50719,1.52,0.8524,1.10736,0.0018812,0.0018812,0.0018812
8,172.5,1.4833,0.86047,1.06382,0.92733,0.95686,0.95947,0.4905,1.58566,0.85848,1.11328,0.0018614,0.0018614,0.0018614
9,193.703,1.47398,0.87166,1.05273,0.95126,0.96801,0.97604,0.52061,1.5025,0.87093,1.08763,0.0018416,0.0018416,0.0018416
10,215.369,1.4667,0.85273,1.04292,0.18982,0.19971,0.08204,0.01857,2.96529,3.31964,2.774,0.0018218,0.0018218,0.0018218
11,236.91,1.4562,0.86031,1.04605,0.93005,0.96268,0.96338,0.51707,1.50267,0.88458,1.08548,0.001802,0.001802,0.001802
12,258.09,1.45411,0.84677,1.04635,0.96178,0.97582,0.97941,0.54107,1.43936,0.84259,1.0746,0.0017822,0.0017822,0.0017822
13,279.688,1.42772,0.84412,1.043,0.93806,0.97576,0.97543,0.52778,1.46143,0.8529,1.08278,0.0017624,0.0017624,0.0017624
14,301.362,1.44253,0.83395,1.04209,0.9189,0.96666,0.96183,0.50919,1.47284,0.88069,1.08075,0.0017426,0.0017426,0.0017426
15,322.459,1.43163,0.84515,1.03691,0.96478,0.97334,0.98143,0.55048,1.40966,0.83759,1.07694,0.0017228,0.0017228,0.0017228
16,344.13,1.43904,0.83656,1.05391,0.94699,0.97431,0.97749,0.5408,1.45143,0.85683,1.06403,0.001703,0.001703,0.001703
17,365.914,1.42035,0.83521,1.04343,0.94808,0.96171,0.97308,0.5304,1.47811,0.81812,1.10942,0.0016832,0.0016832,0.0016832
18,387.117,1.41828,0.82617,1.03658,0.94606,0.95007,0.9743,0.54696,1.40351,0.82044,1.0724,0.0016634,0.0016634,0.0016634
