IoU,AvgIOU,TP,FP,FN,Precision,Recall,F1,file,folder,model
0.5,0.874087055,20,0,0,1,1,1,MIT_1,train,best_yolov8s.pt
0.55,0.874087055,20,0,0,1,1,1,MIT_1,train,best_yolov8s.pt
0.6,0.874087055,20,0,0,1,1,1,MIT_1,train,best_yolov8s.pt
0.65,0.874087055,20,0,0,1,1,1,MIT_1,train,best_yolov8s.pt
0.7,0.874087055,20,0,0,1,1,1,MIT_1,train,best_yolov8s.pt
0.75,0.832463863,19,1,1,0.95,0.95,0.95,MIT_1,train,best_yolov8s.pt
0.8,0.760075705,17,3,3,0.85,0.85,0.85,MIT_1,train,best_yolov8s.pt
0.85,0.672374665,14,6,6,0.7,0.7,0.7,MIT_1,train,best_yolov8s.pt
0.9,0.514168866,6,14,14,0.3,0.3,0.3,MIT_1,train,best_yolov8s.pt
0.95,0.460045829,2,18,18,0.1,0.1,0.1,MIT_1,train,best_yolov8s.pt
0.5,0.792973066,19,0,1,1,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.55,0.792973066,19,0,1,1,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.6,0.792973066,19,0,1,1,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.65,0.792973066,19,0,1,1,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.7,0.792973066,19,0,1,1,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.75,0.720884609,17,2,3,0.89,0.85,0.87,MIT_100,train,best_yolov8s.pt
0.8,0.63437846,14,5,6,0.74,0.7,0.72,MIT_100,train,best_yolov8s.pt
0.85,0.511595536,8,11,12,0.42,0.4,0.41,MIT_100,train,best_yolov8s.pt
0.9,0.417354255,1,18,19,0.05,0.05,0.05,MIT_100,train,best_yolov8s.pt
0.95,0.406652865,0,19,20,0,0,0,MIT_100,train,best_yolov8s.pt
0.5,0.823610503,20,0,0,1,1,1,MIT_102,train,best_yolov8s.pt
0.55,0.784390957,19,1,1,0.95,0.95,0.95,MIT_102,train,best_yolov8s.pt
