IoU,AvgIOU,TP,FP,FN,Precision,Recall,F1,file,folder,model,,TP,FP,FN,Precision,Recall,F1
0.2,0.844622585,20,0,0,1,1,1,MIT_1,train,best.pt,,,,,,,
0.25,0.844622585,20,0,0,1,1,1,MIT_1,train,best.pt,,,,,,,
0.3,0.844622585,20,0,0,1,1,1,MIT_1,train,best.pt,,,,,,,
0.35,0.844622585,20,0,0,1,1,1,MIT_1,train,best.pt,,,,,,,
0.4,0.844622585,20,0,0,1,1,1,MIT_1,train,best.pt,,,,,,,
0.45,0.844622585,20,0,0,1,1,1,MIT_1,train,best.pt,,,,,,,
0.5,0.844622585,20,0,0,1,1,1,MIT_1,train,best.pt,,204992,864,1305,0.995802891,0.993674169,0.994737391
0.2,0.782202168,20,0,0,1,1,1,MIT_100,train,best.pt,,,,,,,
0.25,0.782202168,20,0,0,1,1,1,MIT_100,train,best.pt,,,,,,,
0.3,0.782202168,20,0,0,1,1,1,MIT_100,train,best.pt,,,,,,,
0.35,0.782202168,20,0,0,1,1,1,MIT_100,train,best.pt,,,,,,,
0.4,0.782202168,20,0,0,1,1,1,MIT_100,train,best.pt,,,,,,,
0.45,0.782202168,20,0,0,1,1,1,MIT_100,train,best.pt,,,,,,,
0.5,0.782202168,20,0,0,1,1,1,MIT_100,train,best.pt,,,,,,,
0.2,0.864173814,20,0,0,1,1,1,MIT_102,train,best.pt,,,,,,,
0.25,0.864173814,20,0,0,1,1,1,MIT_102,train,best.pt,,,,,,,
0.3,0.864173814,20,0,0,1,1,1,MIT_102,train,best.pt,,,,,,,
0.35,0.864173814,20,0,0,1,1,1,MIT_102,train,best.pt,,,,,,,
0.4,0.864173814,20,0,0,1,1,1,MIT_102,train,best.pt,,,,,,,
0.45,0.864173814,20,0,0,1,1,1,MIT_102,train,best.pt,,,,,,,
0.5,0.864173814,20,0,0,1,1,1,MIT_102,train,best.pt,,,,,,,
0.2,0.839827428,20,0,0,1,1,1,MIT_103,train,best.pt,,,,,,,
0.25,0.839827428,20,0,0,1,1,1,MIT_103,train,best.pt,,,,,,,
0.3,0.839827428,20,0,0,1,1,1,MIT_103,train,best.pt,,,,,,,
0.35,0.839827428,20,0,0,1,1,1,MIT_103,train,best.pt,,,,,,,
0.4,0.839827428,20,0,0,1,1,1,MIT_103,train,best.pt,,,,,,,
0.45,0.839827428,20,0,0,1,1,1,MIT_103,train,best.pt,,,,,,,
0.5,0.839827428,20,0,0,1,1,1,MIT_103,train,best.pt,,,,,,,
0.2,0.858401854,20,0,0,1,1,1,MIT_104,train,best.pt,,,,,,,
