IoU,AvgIOU,TP,FP,FN,Precision,Recall,F1,file,folder,model
0.2,0.8446225849286951,20,0,0,1.0,1.0,1.0,MIT_1,train,best.pt
0.25,0.8446225849286951,20,0,0,1.0,1.0,1.0,MIT_1,train,best.pt
0.3,0.8446225849286951,20,0,0,1.0,1.0,1.0,MIT_1,train,best.pt
0.35,0.8446225849286951,20,0,0,1.0,1.0,1.0,MIT_1,train,best.pt
0.39999999999999997,0.8446225849286951,20,0,0,1.0,1.0,1.0,MIT_1,train,best.pt
0.44999999999999996,0.8446225849286951,20,0,0,1.0,1.0,1.0,MIT_1,train,best.pt
0.49999999999999994,0.8446225849286951,20,0,0,1.0,1.0,1.0,MIT_1,train,best.pt
0.2,0.7822021683839915,20,0,0,1.0,1.0,1.0,MIT_100,train,best.pt
0.25,0.7822021683839915,20,0,0,1.0,1.0,1.0,MIT_100,train,best.pt
0.3,0.7822021683839915,20,0,0,1.0,1.0,1.0,MIT_100,train,best.pt
0.35,0.7822021683839915,20,0,0,1.0,1.0,1.0,MIT_100,train,best.pt
0.39999999999999997,0.7822021683839915,20,0,0,1.0,1.0,1.0,MIT_100,train,best.pt
0.44999999999999996,0.7822021683839915,20,0,0,1.0,1.0,1.0,MIT_100,train,best.pt
0.49999999999999994,0.7822021683839915,20,0,0,1.0,1.0,1.0,MIT_100,train,best.pt
0.2,0.8641738139349605,20,0,0,1.0,1.0,1.0,MIT_102,train,best.pt
0.25,0.8641738139349605,20,0,0,1.0,1.0,1.0,MIT_102,train,best.pt
0.3,0.8641738139349605,20,0,0,1.0,1.0,1.0,MIT_102,train,best.pt
0.35,0.8641738139349605,20,0,0,1.0,1.0,1.0,MIT_102,train,best.pt
0.39999999999999997,0.8641738139349605,20,0,0,1.0,1.0,1.0,MIT_102,train,best.pt
0.44999999999999996,0.8641738139349605,20,0,0,1.0,1.0,1.0,MIT_102,train,best.pt
0.49999999999999994,0.8641738139349605,20,0,0,1.0,1.0,1.0,MIT_102,train,best.pt
0.2,0.8398274277103669,20,0,0,1.0,1.0,1.0,MIT_103,train,best.pt
0.25,0.8398274277103669,20,0,0,1.0,1.0,1.0,MIT_103,train,best.pt
0.3,0.8398274277103669,20,0,0,1.0,1.0,1.0,MIT_103,train,best.pt
0.35,0.8398274277103669,20,0,0,1.0,1.0,1.0,MIT_103,train,best.pt
0.39999999999999997,0.8398274277103669,20,0,0,1.0,1.0,1.0,MIT_103,train,best.pt
0.44999999999999996,0.8398274277103669,20,0,0,1.0,1.0,1.0,MIT_103,train,best.pt
0.49999999999999994,0.8398274277103669,20,0,0,1.0,1.0,1.0,MIT_103,train,best.pt
0.2,0.8584018539837543,20,0,0,1.0,1.0,1.0,MIT_104,train,best.pt
0.25,0.8584018539837543,20,0,0,1.0,1.0,1.0,MIT_104,train,best.pt
0.3,0.8584018539837543,20,0,0,1.0,1.0,1.0,MIT_104,train,best.pt
0.35,0.8584018539837543,20,0,0,1.0,1.0,1.0,MIT_104,train,best.pt
0.39999999999999997,0.8584018539837543,20,0,0,1.0,1.0,1.0,MIT_104,train,best.pt
0.44999999999999996,0.8584018539837543,20,0,0,1.0,1.0,1.0,MIT_104,train,best.pt
0.49999999999999994,0.8584018539837543,20,0,0,1.0,1.0,1.0,MIT_104,train,best.pt
0.2,0.8571012153929436,20,0,0,1.0,1.0,1.0,MIT_105,train,best.pt
0.25,0.8571012153929436,20,0,0,1.0,1.0,1.0,MIT_105,train,best.pt
0.3,0.8571012153929436,20,0,0,1.0,1.0,1.0,MIT_105,train,best.pt
0.35,0.8571012153929436,20,0,0,1.0,1.0,1.0,MIT_105,train,best.pt
0.39999999999999997,0.8571012153929436,20,0,0,1.0,1.0,1.0,MIT_105,train,best.pt
0.44999999999999996,0.8571012153929436,20,0,0,1.0,1.0,1.0,MIT_105,train,best.pt
0.49999999999999994,0.8571012153929436,20,0,0,1.0,1.0,1.0,MIT_105,train,best.pt
0.2,0.763594008509046,20,0,0,1.0,1.0,1.0,MIT_107,train,best.pt
0.25,0.763594008509046,20,0,0,1.0,1.0,1.0,MIT_107,train,best.pt
0.3,0.763594008509046,20,0,0,1.0,1.0,1.0,MIT_107,train,best.pt
0.35,0.763594008509046,20,0,0,1.0,1.0,1.0,MIT_107,train,best.pt
0.39999999999999997,0.763594008509046,20,0,0,1.0,1.0,1.0,MIT_107,train,best.pt
0.44999999999999996,0.763594008509046,20,0,0,1.0,1.0,1.0,MIT_107,train,best.pt
0.49999999999999994,0.763594008509046,20,0,0,1.0,1.0,1.0,MIT_107,train,best.pt
0.2,0.8372962799566556,20,0,0,1.0,1.0,1.0,MIT_108,train,best.pt
0.25,0.8372962799566556,20,0,0,1.0,1.0,1.0,MIT_108,train,best.pt
0.3,0.8372962799566556,20,0,0,1.0,1.0,1.0,MIT_108,train,best.pt
0.35,0.8372962799566556,20,0,0,1.0,1.0,1.0,MIT_108,train,best.pt
0.39999999999999997,0.8372962799566556,20,0,0,1.0,1.0,1.0,MIT_108,train,best.pt
0.44999999999999996,0.8372962799566556,20,0,0,1.0,1.0,1.0,MIT_108,train,best.pt
0.49999999999999994,0.8372962799566556,20,0,0,1.0,1.0,1.0,MIT_108,train,best.pt
0.2,0.7956387274437545,20,0,0,1.0,1.0,1.0,MIT_112,train,best.pt
0.25,0.7956387274437545,20,0,0,1.0,1.0,1.0,MIT_112,train,best.pt
0.3,0.7956387274437545,20,0,0,1.0,1.0,1.0,MIT_112,train,best.pt
0.35,0.7956387274437545,20,0,0,1.0,1.0,1.0,MIT_112,train,best.pt
0.39999999999999997,0.7956387274437545,20,0,0,1.0,1.0,1.0,MIT_112,train,best.pt
0.44999999999999996,0.7956387274437545,20,0,0,1.0,1.0,1.0,MIT_112,train,best.pt
0.49999999999999994,0.7956387274437545,20,0,0,1.0,1.0,1.0,MIT_112,train,best.pt
0.2,0.8110515885370262,17,1,0,0.94,1.0,0.97,MIT_113,train,best.pt
0.25,0.8110515885370262,17,1,0,0.94,1.0,0.97,MIT_113,train,best.pt
0.3,0.8110515885370262,17,1,0,0.94,1.0,0.97,MIT_113,train,best.pt
0.35,0.8110515885370262,17,1,0,0.94,1.0,0.97,MIT_113,train,best.pt
0.39999999999999997,0.8110515885370262,17,1,0,0.94,1.0,0.97,MIT_113,train,best.pt
0.44999999999999996,0.8110515885370262,17,1,0,0.94,1.0,0.97,MIT_113,train,best.pt
0.49999999999999994,0.8110515885370262,17,1,0,0.94,1.0,0.97,MIT_113,train,best.pt
0.2,0.8336510490371769,20,0,0,1.0,1.0,1.0,MIT_114,train,best.pt
0.25,0.8336510490371769,20,0,0,1.0,1.0,1.0,MIT_114,train,best.pt
0.3,0.8336510490371769,20,0,0,1.0,1.0,1.0,MIT_114,train,best.pt
0.35,0.8336510490371769,20,0,0,1.0,1.0,1.0,MIT_114,train,best.pt
0.39999999999999997,0.8336510490371769,20,0,0,1.0,1.0,1.0,MIT_114,train,best.pt
0.44999999999999996,0.8336510490371769,20,0,0,1.0,1.0,1.0,MIT_114,train,best.pt
0.49999999999999994,0.8336510490371769,20,0,0,1.0,1.0,1.0,MIT_114,train,best.pt
0.2,0.8464761333958136,20,0,0,1.0,1.0,1.0,MIT_115,train,best.pt
0.25,0.8464761333958136,20,0,0,1.0,1.0,1.0,MIT_115,train,best.pt
0.3,0.8464761333958136,20,0,0,1.0,1.0,1.0,MIT_115,train,best.pt
0.35,0.8464761333958136,20,0,0,1.0,1.0,1.0,MIT_115,train,best.pt
0.39999999999999997,0.8464761333958136,20,0,0,1.0,1.0,1.0,MIT_115,train,best.pt
0.44999999999999996,0.8464761333958136,20,0,0,1.0,1.0,1.0,MIT_115,train,best.pt
0.49999999999999994,0.8464761333958136,20,0,0,1.0,1.0,1.0,MIT_115,train,best.pt
0.2,0.8168935764145898,20,0,0,1.0,1.0,1.0,MIT_116,train,best.pt
0.25,0.8168935764145898,20,0,0,1.0,1.0,1.0,MIT_116,train,best.pt
0.3,0.8168935764145898,20,0,0,1.0,1.0,1.0,MIT_116,train,best.pt
0.35,0.8168935764145898,20,0,0,1.0,1.0,1.0,MIT_116,train,best.pt
0.39999999999999997,0.8168935764145898,20,0,0,1.0,1.0,1.0,MIT_116,train,best.pt
0.44999999999999996,0.8168935764145898,20,0,0,1.0,1.0,1.0,MIT_116,train,best.pt
0.49999999999999994,0.8168935764145898,20,0,0,1.0,1.0,1.0,MIT_116,train,best.pt
0.2,0.8451909564602577,21,0,0,1.0,1.0,1.0,MIT_118,train,best.pt
0.25,0.8451909564602577,21,0,0,1.0,1.0,1.0,MIT_118,train,best.pt
0.3,0.8451909564602577,21,0,0,1.0,1.0,1.0,MIT_118,train,best.pt
0.35,0.8451909564602577,21,0,0,1.0,1.0,1.0,MIT_118,train,best.pt
0.39999999999999997,0.8451909564602577,21,0,0,1.0,1.0,1.0,MIT_118,train,best.pt
0.44999999999999996,0.8451909564602577,21,0,0,1.0,1.0,1.0,MIT_118,train,best.pt
0.49999999999999994,0.8451909564602577,21,0,0,1.0,1.0,1.0,MIT_118,train,best.pt
0.2,0.8749243309495006,20,0,0,1.0,1.0,1.0,MIT_12,train,best.pt
0.25,0.8749243309495006,20,0,0,1.0,1.0,1.0,MIT_12,train,best.pt
0.3,0.8749243309495006,20,0,0,1.0,1.0,1.0,MIT_12,train,best.pt
0.35,0.8749243309495006,20,0,0,1.0,1.0,1.0,MIT_12,train,best.pt
0.39999999999999997,0.8749243309495006,20,0,0,1.0,1.0,1.0,MIT_12,train,best.pt
0.44999999999999996,0.8749243309495006,20,0,0,1.0,1.0,1.0,MIT_12,train,best.pt
0.49999999999999994,0.8749243309495006,20,0,0,1.0,1.0,1.0,MIT_12,train,best.pt
0.2,0.8613511489711752,20,0,0,1.0,1.0,1.0,MIT_123,train,best.pt
0.25,0.8613511489711752,20,0,0,1.0,1.0,1.0,MIT_123,train,best.pt
0.3,0.8613511489711752,20,0,0,1.0,1.0,1.0,MIT_123,train,best.pt
0.35,0.8613511489711752,20,0,0,1.0,1.0,1.0,MIT_123,train,best.pt
0.39999999999999997,0.8613511489711752,20,0,0,1.0,1.0,1.0,MIT_123,train,best.pt
0.44999999999999996,0.8613511489711752,20,0,0,1.0,1.0,1.0,MIT_123,train,best.pt
0.49999999999999994,0.8613511489711752,20,0,0,1.0,1.0,1.0,MIT_123,train,best.pt
0.2,0.8015202194137312,20,0,0,1.0,1.0,1.0,MIT_124,train,best.pt
0.25,0.8015202194137312,20,0,0,1.0,1.0,1.0,MIT_124,train,best.pt
0.3,0.8015202194137312,20,0,0,1.0,1.0,1.0,MIT_124,train,best.pt
0.35,0.8015202194137312,20,0,0,1.0,1.0,1.0,MIT_124,train,best.pt
0.39999999999999997,0.8015202194137312,20,0,0,1.0,1.0,1.0,MIT_124,train,best.pt
0.44999999999999996,0.8015202194137312,20,0,0,1.0,1.0,1.0,MIT_124,train,best.pt
0.49999999999999994,0.8015202194137312,20,0,0,1.0,1.0,1.0,MIT_124,train,best.pt
0.2,0.8436190918618183,20,0,0,1.0,1.0,1.0,MIT_125,train,best.pt
0.25,0.8436190918618183,20,0,0,1.0,1.0,1.0,MIT_125,train,best.pt
0.3,0.8436190918618183,20,0,0,1.0,1.0,1.0,MIT_125,train,best.pt
0.35,0.8436190918618183,20,0,0,1.0,1.0,1.0,MIT_125,train,best.pt
0.39999999999999997,0.8436190918618183,20,0,0,1.0,1.0,1.0,MIT_125,train,best.pt
0.44999999999999996,0.8436190918618183,20,0,0,1.0,1.0,1.0,MIT_125,train,best.pt
0.49999999999999994,0.8436190918618183,20,0,0,1.0,1.0,1.0,MIT_125,train,best.pt
0.2,0.8426212117554028,20,0,0,1.0,1.0,1.0,MIT_126,train,best.pt
0.25,0.8426212117554028,20,0,0,1.0,1.0,1.0,MIT_126,train,best.pt
0.3,0.8426212117554028,20,0,0,1.0,1.0,1.0,MIT_126,train,best.pt
