IoU,AvgIOU,TP,FP,FN,Precision,Recall,F1,file,folder,model
0.5,0.8740870545412803,20,0,0,1.0,1.0,1.0,MIT_1,train,best_yolov8s.pt
0.55,0.8740870545412803,20,0,0,1.0,1.0,1.0,MIT_1,train,best_yolov8s.pt
0.6000000000000001,0.8740870545412803,20,0,0,1.0,1.0,1.0,MIT_1,train,best_yolov8s.pt
0.6500000000000001,0.8740870545412803,20,0,0,1.0,1.0,1.0,MIT_1,train,best_yolov8s.pt
0.7000000000000002,0.8740870545412803,20,0,0,1.0,1.0,1.0,MIT_1,train,best_yolov8s.pt
0.7500000000000002,0.8324638634499427,19,1,1,0.95,0.95,0.95,MIT_1,train,best_yolov8s.pt
0.8000000000000003,0.7600757045581286,17,3,3,0.85,0.85,0.85,MIT_1,train,best_yolov8s.pt
0.8500000000000003,0.6723746650976152,14,6,6,0.7,0.7,0.7,MIT_1,train,best_yolov8s.pt
0.9000000000000004,0.514168866198347,6,14,14,0.3,0.3,0.3,MIT_1,train,best_yolov8s.pt
0.9500000000000004,0.460045829075443,2,18,18,0.1,0.1,0.1,MIT_1,train,best_yolov8s.pt
0.5,0.7929730664902863,19,0,1,1.0,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.55,0.7929730664902863,19,0,1,1.0,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.6000000000000001,0.7929730664902863,19,0,1,1.0,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.6500000000000001,0.7929730664902863,19,0,1,1.0,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.7000000000000002,0.7929730664902863,19,0,1,1.0,0.95,0.97,MIT_100,train,best_yolov8s.pt
0.7500000000000002,0.7208846091770084,17,2,3,0.89,0.85,0.87,MIT_100,train,best_yolov8s.pt
0.8000000000000003,0.6343784595360134,14,5,6,0.74,0.7,0.72,MIT_100,train,best_yolov8s.pt
0.8500000000000003,0.5115955358446213,8,11,12,0.42,0.4,0.41,MIT_100,train,best_yolov8s.pt
0.9000000000000004,0.4173542554059089,1,18,19,0.05,0.05,0.05,MIT_100,train,best_yolov8s.pt
0.9500000000000004,0.4066528645160495,0,19,20,0.0,0.0,0.0,MIT_100,train,best_yolov8s.pt
0.5,0.8236105031478383,20,0,0,1.0,1.0,1.0,MIT_102,train,best_yolov8s.pt
0.55,0.7843909572464911,19,1,1,0.95,0.95,0.95,MIT_102,train,best_yolov8s.pt
0.6000000000000001,0.7843909572464911,19,1,1,0.95,0.95,0.95,MIT_102,train,best_yolov8s.pt
0.6500000000000001,0.7843909572464911,19,1,1,0.95,0.95,0.95,MIT_102,train,best_yolov8s.pt
0.7000000000000002,0.7843909572464911,19,1,1,0.95,0.95,0.95,MIT_102,train,best_yolov8s.pt
0.7500000000000002,0.7843909572464911,19,1,1,0.95,0.95,0.95,MIT_102,train,best_yolov8s.pt
0.8000000000000003,0.6588884091071545,15,5,5,0.75,0.75,0.75,MIT_102,train,best_yolov8s.pt
0.8500000000000003,0.49915789052755705,7,13,13,0.35,0.35,0.35,MIT_102,train,best_yolov8s.pt
0.9000000000000004,0.4334792224496855,2,18,18,0.1,0.1,0.1,MIT_102,train,best_yolov8s.pt
0.9500000000000004,0.42236437087699746,1,19,19,0.05,0.05,0.05,MIT_102,train,best_yolov8s.pt
0.5,0.850018734887896,20,0,0,1.0,1.0,1.0,MIT_103,train,best_yolov8s.pt
0.55,0.850018734887896,20,0,0,1.0,1.0,1.0,MIT_103,train,best_yolov8s.pt
0.6000000000000001,0.850018734887896,20,0,0,1.0,1.0,1.0,MIT_103,train,best_yolov8s.pt
0.6500000000000001,0.850018734887896,20,0,0,1.0,1.0,1.0,MIT_103,train,best_yolov8s.pt
0.7000000000000002,0.850018734887896,20,0,0,1.0,1.0,1.0,MIT_103,train,best_yolov8s.pt
0.7500000000000002,0.8095416542016667,19,1,1,0.95,0.95,0.95,MIT_103,train,best_yolov8s.pt
0.8000000000000003,0.7391467308099967,17,3,3,0.85,0.85,0.85,MIT_103,train,best_yolov8s.pt
0.8500000000000003,0.566679166036583,10,10,10,0.5,0.5,0.5,MIT_103,train,best_yolov8s.pt
0.9000000000000004,0.48572500177290445,5,15,15,0.25,0.25,0.25,MIT_103,train,best_yolov8s.pt
0.9500000000000004,0.425009378069182,0,20,20,0.0,0.0,0.0,MIT_103,train,best_yolov8s.pt
0.5,0.8523101775585099,20,0,0,1.0,1.0,1.0,MIT_104,train,best_yolov8s.pt
0.55,0.8523101775585099,20,0,0,1.0,1.0,1.0,MIT_104,train,best_yolov8s.pt
0.6000000000000001,0.8523101775585099,20,0,0,1.0,1.0,1.0,MIT_104,train,best_yolov8s.pt
0.6500000000000001,0.8523101775585099,20,0,0,1.0,1.0,1.0,MIT_104,train,best_yolov8s.pt
0.7000000000000002,0.8117239805598284,19,1,1,0.95,0.95,0.95,MIT_104,train,best_yolov8s.pt
0.7500000000000002,0.7748274376660427,18,2,2,0.9,0.9,0.9,MIT_104,train,best_yolov8s.pt
0.8000000000000003,0.7411392896670038,17,3,3,0.85,0.85,0.85,MIT_104,train,best_yolov8s.pt
0.8500000000000003,0.6087929926674066,12,8,8,0.6,0.6,0.6,MIT_104,train,best_yolov8s.pt
0.9000000000000004,0.4870343976127423,5,15,15,0.25,0.25,0.25,MIT_104,train,best_yolov8s.pt
0.9500000000000004,0.42615509943313196,0,20,20,0.0,0.0,0.0,MIT_104,train,best_yolov8s.pt
0.5,0.8083999294889884,20,0,0,1.0,1.0,1.0,MIT_105,train,best_yolov8s.pt
0.55,0.7699046965845239,19,1,1,0.95,0.95,0.95,MIT_105,train,best_yolov8s.pt
0.6000000000000001,0.7349090301486667,18,2,2,0.9,0.9,0.9,MIT_105,train,best_yolov8s.pt
0.6500000000000001,0.7349090301486667,18,2,2,0.9,0.9,0.9,MIT_105,train,best_yolov8s.pt
0.7000000000000002,0.7029564650097058,17,3,3,0.85,0.85,0.85,MIT_105,train,best_yolov8s.pt
0.7500000000000002,0.6736666135213786,16,4,4,0.8,0.8,0.8,MIT_105,train,best_yolov8s.pt
0.8000000000000003,0.5988147703468492,13,7,7,0.65,0.65,0.65,MIT_105,train,best_yolov8s.pt
0.8500000000000003,0.48993936085576784,7,13,13,0.35,0.35,0.35,MIT_105,train,best_yolov8s.pt
0.9000000000000004,0.44911108191857274,4,16,16,0.2,0.2,0.2,MIT_105,train,best_yolov8s.pt
0.9500000000000004,0.41456407650296473,1,19,19,0.05,0.05,0.05,MIT_105,train,best_yolov8s.pt
0.5,0.7526899894443434,20,0,0,1.0,1.0,1.0,MIT_107,train,best_yolov8s.pt
0.55,0.7526899894443434,20,0,0,1.0,1.0,1.0,MIT_107,train,best_yolov8s.pt
0.6000000000000001,0.7526899894443434,20,0,0,1.0,1.0,1.0,MIT_107,train,best_yolov8s.pt
0.6500000000000001,0.7168476107013927,19,1,1,0.95,0.95,0.95,MIT_107,train,best_yolov8s.pt
0.7000000000000002,0.578992306253252,14,6,6,0.7,0.7,0.7,MIT_107,train,best_yolov8s.pt
0.7500000000000002,0.48560645341840014,9,11,11,0.45,0.45,0.45,MIT_107,train,best_yolov8s.pt
0.8000000000000003,0.4561757601636697,7,13,13,0.35,0.35,0.35,MIT_107,train,best_yolov8s.pt
